[2024-07-05 17:40:25] H5 extends#WebView ----- Class Name = [com/onesignal/inAppMessages/internal/display/impl/OSWebView], extends class.
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeOutcomeTableRevision2To3], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeOutcomeTableRevision2To3], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeOutcomeTableRevision2To3], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeOutcomeTableRevision2To3], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeOutcomeTableRevision2To3], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeOutcomeTableRevision2To3], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeOutcomeTableRevision2To3], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeOutcomeTableRevision3To4], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeOutcomeTableRevision3To4], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeOutcomeTableRevision3To4], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeOutcomeTableRevision3To4], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeOutcomeTableRevision3To4], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeCacheOutcomeTableRevision1To2], replace method = [execSQL]
[2024-07-05 17:40:27] Sqlite ----- Class Name = [com/onesignal/session/internal/outcomes/impl/OutcomeTableProvider], Method Name = [upgradeCacheOutcomeTableRevision1To2], replace method = [execSQL]
